,Method,T-Statistic,P-value
0,EfficientNet,2.511601255903698,0.06594460677550767
1,STIDNet,2.126803070770258,0.10056895488259288
2,DCNN,2.527717280173313,0.0648219062043771
3,GLCM,3.094212322411241,0.03642505117962586
4,BA-TFD,3.4091056014758783,0.027049638232769433
5,MUSE-CLMPNet,3.402168007431906,0.027222908405495575
6,SCAM-CLMPNet,3.4174136947933587,0.02684385748228795
7,SMA-CLMPNet,3.6107464272470104,0.02254164948807316
8,OM²AHL-BiG,3.5866382212161567,0.02303078343503106
