,Method,T-Statistic,P-value
0,EfficientNet,2.5028140336038494,0.06656610409973426
1,STIDNet,2.716102106814318,0.053200631730658816
2,DCNN,2.776716128274257,0.04998613624366287
3,GLCM,2.8610584209648864,0.04588044832951422
4,BA-TFD,3.2509305563865585,0.031348151402030525
5,MUSE-CLMPNet,3.2212474990422706,0.03224228097718345
6,SCAM-CLMPNet,3.3002113457082976,0.029927491962892124
7,SMA-CLMPNet,3.463203342061836,0.0257424842576833
8,OM²AHL-BiG,3.449453279950143,0.026067479550143522
