,Method,T-Statistic,P-value
0,EfficientNet,2.5344967116445,0.06435616587714665
1,STIDNet,2.3534648926083257,0.078218797598047
2,DCNN,2.606583214920626,0.05963375740817156
3,GLCM,3.0231330135644825,0.03904286892467605
4,BA-TFD,3.360683319823551,0.028286909992148498
5,MUSE-CLMPNet,3.352773283389246,0.02849534111454533
6,SCAM-CLMPNet,3.389625840854271,0.027539508539674806
7,SMA-CLMPNet,3.5587029621383173,0.02361347624593655
8,OM²AHL-BiG,3.548860724472348,0.023822944481565942
