,Method,T-Statistic,P-value
0,EfficientNet,2.533416347515444,0.06443012889814573
1,STIDNet,2.3566308852129234,0.0779489370757798
2,DCNN,2.6073751638045093,0.059584130527452754
3,GLCM,3.023270512412024,0.039037596108445594
4,BA-TFD,3.361363331121556,0.028269075991422747
5,MUSE-CLMPNet,3.353302225660941,0.0284813467488941
6,SCAM-CLMPNet,3.389558141182352,0.02754122928244552
7,SMA-CLMPNet,3.5601114646748386,0.02358367939811132
8,OM²AHL-BiG,3.549846667414409,0.023801861626408793
