,Method,Best,Mean,Variance
0,EfficientNet,97.21874871097016,93.65186108456307,4.8188487333606185
1,STIDNet,92.56811581269989,91.78566707379058,0.2960998350027935
2,DCNN,96.56730479673332,94.0990853998011,3.1740197853094254
3,GLCM,97.069912189004,94.46970438790686,2.810824335237546
4,BA-TFD,97.0876217607739,94.69408352104381,2.6178406017039024
5,MUSE-CLMPNet,97.25375377054604,95.06126843883173,2.895399306055923
6,SCAM-CLMPNet,97.32899068363552,95.31604068764182,2.9310222553025898
7,SMA-CLMPNet,97.34469663184022,95.85051106854662,2.0945102442629957
