,Method,Best,Mean,Variance
0,EfficientNet,97.70897339460412,94.03193925830438,5.301698624530581
1,STIDNet,94.63586904128124,92.51677521215362,1.5619692574387003
2,DCNN,96.69464567344149,93.88030471056216,3.113962722638744
3,GLCM,97.35299649837266,94.46047709848143,3.4665417251790114
4,BA-TFD,97.47630639361226,94.72718129716145,3.2810014496273734
5,MUSE-CLMPNet,97.6177064460193,95.16730041996347,3.2181984957632053
6,SCAM-CLMPNet,97.70431923987536,95.44648988701458,3.10714387170071
7,SMA-CLMPNet,97.91784781180844,96.11481030490982,2.7708879493329897
