,Method,Best,Mean,Variance
0,EfficientNet,97.70651384322316,94.02919421431777,5.297438245980299
1,STIDNet,94.59068951836224,92.50553875544308,1.5263379737362275
2,DCNN,96.69447797337114,93.87880341397505,3.1150596228669283
3,GLCM,97.35217334213614,94.46006981135626,3.4662822502490886
4,BA-TFD,97.47475652216764,94.72646724669096,3.2814996631668936
5,MUSE-CLMPNet,97.61634950418151,95.16653429826283,3.2157517072239394
6,SCAM-CLMPNet,97.70287742516103,95.44582588430829,3.105766450529256
7,SMA-CLMPNet,97.91449293542544,96.11226804844993,2.7697306168419935
