,Method,Best,Mean,Variance
0,EfficientNet,98.19919807823808,94.41201743204572,6.016143396972889
1,STIDNet,96.7036222698626,93.24788335051669,3.87380314762324
2,DCNN,96.82198655014965,93.66152402132322,3.23896557403506
3,GLCM,97.63608080774132,94.45124980905605,4.1992934706924006
4,BA-TFD,97.86499102645062,94.76027907327911,4.0767538923703786
5,MUSE-CLMPNet,97.98165912149256,95.27333240109522,3.6667790102582276
6,SCAM-CLMPNet,98.07964779611515,95.57693908638727,3.3773625910360483
7,SMA-CLMPNet,98.49099899177666,96.379109541273,3.797414798068763
