,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
OM²AHL-BiG at Epochs = 100,88.27095373700986,89.38041726789254,89.54814226755869,89.73732906596832,90.89126210980668
OM²AHL-BiG at Epochs = 200,89.0216308737825,90.53843744764325,91.39156258056616,92.59044832062786,93.088359533571
OM²AHL-BiG at Epochs = 300,90.22582132662026,91.48581798968969,92.25470381882906,92.98313917585934,94.0945078253187
OM²AHL-BiG at Epochs = 400,91.4409839883731,93.8676988453555,93.91936419986165,94.98957021304405,96.4068190416318
OM²AHL-BiG at Epochs = 500,94.07982453494027,95.96764934617102,96.33288588799991,97.00258187159673,97.2767853462222
