,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
OM²AHL-BiG at Epochs = 100,88.4571646629515,89.11761820495995,89.1836981325815,89.55824362080521,91.48623482912495
OM²AHL-BiG at Epochs = 200,89.78202009392872,90.88513117224643,91.06933427081948,93.17756545558014,93.40775643897867
OM²AHL-BiG at Epochs = 300,89.96012107364513,90.8892054863772,92.09393818145575,93.54577021403156,94.60578944817854
OM²AHL-BiG at Epochs = 400,92.2040455665985,93.13888944012037,93.16618447550357,94.25942520389133,96.42236962626075
OM²AHL-BiG at Epochs = 500,93.1283096841576,95.05793183134293,95.3633601093061,96.6619560548277,96.82614157995184
