,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
OM²AHL-BiG at Epochs = 100,88.27056091799665,89.37964457797241,89.54665904831866,89.73697167181581,90.88736742809014
OM²AHL-BiG at Epochs = 200,89.0151359156421,90.53710987294605,91.39042646820884,92.58672540388636,93.08726364592516
OM²AHL-BiG at Epochs = 300,90.22503888293183,91.48192726119285,92.25442366411508,92.97973475557497,94.09172967275786
OM²AHL-BiG at Epochs = 400,91.43461635160052,93.86204020925713,93.91332412812547,94.98395789441587,96.40681653329594
OM²AHL-BiG at Epochs = 500,94.0702009996527,95.95902575309123,96.3231282623782,97.00138575964992,97.2746976970122
