,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
OM²AHL-BiG at Epochs = 100,88.17765186453244,89.51143045439878,89.72962272542726,89.82669309147362,90.59182840928928
OM²AHL-BiG at Epochs = 200,88.6381887846392,90.36442679799306,91.55210867926084,92.29502829478096,92.92811313704425
OM²AHL-BiG at Epochs = 300,90.35828023126362,91.78217887709752,92.3349465601587,92.70012144663103,93.83747793760836
OM²AHL-BiG at Epochs = 400,91.05626938087413,94.22927422992389,94.2929340261726,95.35183655830633,96.3990424951494
OM²AHL-BiG at Epochs = 500,94.55077019268782,96.41819630704518,96.81276996453596,97.17229672400785,97.50106340475237
