,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
OM²AHL-BiG at Epochs = 100,88.08474281106822,89.64321633082513,89.91258640253587,89.91641451113142,90.29628939048841
OM²AHL-BiG at Epochs = 200,88.26124165363628,90.19174372304008,91.71379089031285,92.00333118567558,92.76896262816334
OM²AHL-BiG at Epochs = 300,90.49152157959541,92.08243049300218,92.41546945620233,92.42050813768711,93.58322620245885
OM²AHL-BiG at Epochs = 400,90.6779224101477,94.59650825059066,94.67254392421974,95.71971522219678,96.39126845700287
OM²AHL-BiG at Epochs = 500,95.03133938572294,96.87736686099912,97.3024116666937,97.34320768836578,97.72742911249254
