,Method,Best,Mean,Variance
0,EfficientNet,95.17275465498086,93.67903142186483,0.9783609717634789
1,STIDNet,95.29301290980672,92.91528842181228,2.4492709282269116
2,DCNN,95.96501101034474,93.55304629383261,2.763334697457484
3,GLCM,96.07308620775446,93.8956261383101,2.5749516973001665
4,BA-TFD,96.1834065232991,94.40913911121191,2.248827650642693
5,MUSE-CLMPNet,96.57350317083656,94.67940444268932,2.273130495832774
6,SCAM-CLMPNet,96.87140493297257,94.96024162857677,2.302809779296265
7,SMA-CLMPNet,96.96266487219364,95.63600713471217,1.7236003822966832
8,OM²AHL-BiG,97.67115195151904,96.09835085355793,1.9385697347825228
