,Method,Best,Mean,Variance
0,EfficientNet,94.91430781004864,92.91672752310795,1.4252777587120682
1,STIDNet,94.8470708879264,92.65966346512008,2.819796745042133
2,DCNN,96.04335979919512,93.44542590074087,3.235673335443903
3,GLCM,96.23001401850544,93.97428704312037,2.7729653062294886
4,BA-TFD,96.38758579732064,94.62740183253774,2.2684277426681048
5,MUSE-CLMPNet,97.12876070120734,95.03286093480234,2.6640418852921646
6,SCAM-CLMPNet,97.45801707587871,95.26185888225838,2.8092804238306988
7,SMA-CLMPNet,97.49797652318428,96.34239145796602,1.423320555507582
8,OM²AHL-BiG,98.16225682545765,96.75578087796201,2.056406261348619
