,Method,Best,Mean,Variance
0,EfficientNet,95.172052828372,93.67205209993806,0.9831690316571378
1,STIDNet,95.2909260381589,92.91285477782051,2.44938788087367
2,DCNN,95.96494704398192,93.55259957032527,2.7644721611684098
3,GLCM,96.07282987854968,93.89537901670178,2.575028690104914
4,BA-TFD,96.18297308911905,94.4084982392898,2.2489675460798924
5,MUSE-CLMPNet,96.57031067066924,94.67776255839405,2.2709962166895448
6,SCAM-CLMPNet,96.86785265863072,94.95884936099047,2.300226213774506
7,SMA-CLMPNet,96.95970952268812,95.63055117427001,1.7285466132549672
8,OM²AHL-BiG,97.66868260420016,96.09367609548879,1.9371261587714634
