,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
SMA-CLMPNet at Epoch = 100,86.12957424294765,86.36922170153771,86.45676710799756,88.23819642217597,89.46660609451146
SMA-CLMPNet at Epoch = 200,86.29075971415817,88.66127229021349,89.0148159594106,89.82246411178639,92.16965118540907
SMA-CLMPNet at Epoch = 300,90.23887638965792,90.4443137020603,91.27164101864047,91.53627861964046,93.37053256012186
SMA-CLMPNet at Epoch = 400,91.39755932265679,91.95991683015927,93.45759897960076,94.41106668778068,95.39178251080308
SMA-CLMPNet at Epoch = 500,94.15652614388738,96.16535900311524,96.59742459562854,97.29467102401469,97.49797652318426
