,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
SMA-CLMPNet at Epoch = 100,86.22629098966101,86.3793249891092,87.23693119669888,88.20593764670342,89.60852064918272
SMA-CLMPNet at Epoch = 200,86.47076570959955,88.72432945479744,88.99251208877104,89.80089512146827,92.87536708191372
SMA-CLMPNet at Epoch = 300,88.82056524457414,89.757539767145,90.37095197138075,92.27109402236357,93.63595151652308
SMA-CLMPNet at Epoch = 400,90.56008701948102,90.98451928140408,91.95578014662993,94.387492046391,95.26604881379605
SMA-CLMPNet at Epoch = 500,93.29904384205811,95.30112286444343,95.87290236867312,96.74430172619253,96.96266487219364
