,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
SMA-CLMPNet at Epoch = 100,86.22618250616965,86.37932380738637,87.22995415157648,88.20592584898749,89.60829589666274
SMA-CLMPNet at Epoch = 200,86.47039099153005,88.72428463951364,88.99250649883281,89.80088994088136,92.87000468128772
SMA-CLMPNet at Epoch = 300,88.79791726323413,89.7522849613771,90.3619751846793,92.26524220406881,93.63519916423449
SMA-CLMPNet at Epoch = 400,90.55234232883784,90.97406255331855,91.9312524899294,94.38748615828334,95.26588286839619
SMA-CLMPNet at Epoch = 500,93.29116299068309,95.2932855580095,95.86742707331454,96.74117072665479,96.9597095226881
