,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
SMA-CLMPNet at Epoch = 100,86.32300773637438,86.38942827668068,88.01709528540019,88.17367887123085,89.75043520385397
SMA-CLMPNet at Epoch = 200,86.65077170504094,88.78738661938141,88.97020821813148,89.77932613115017,93.58108297841838
SMA-CLMPNet at Epoch = 300,87.40225409949038,89.0707658322297,89.47026292412102,93.00590942508671,93.9013704729243
SMA-CLMPNet at Epoch = 400,89.72261471630524,90.00912173264888,90.45396131365911,94.36391740500135,95.14031511678901
SMA-CLMPNet at Epoch = 500,92.44156154022885,94.43688672577163,95.14838014171771,96.19393242837039,96.42735322120303
