,BES,HHO,CoSH
0,1.0,0.9862320396754034,0.8960329002054614
1,1.0,0.47611660967658465,0.010088100753688038
2,1.0,0.361713407357843,0.0016018305922528998
3,0.8885072445056523,0.24884631859471693,8.36388697391346e-05
4,0.8885072445056523,0.21421481678139123,7.349046793832408e-05
5,0.8885072445056523,0.09119074582317173,3.5325358397881914e-06
6,0.8885072445056523,0.09119074582317173,3.1026878105127035e-06
7,0.7356675625283837,0.054635874575769225,2.921979168353508e-06
8,0.7356675625283837,0.023343271883894245,2.6200337638747444e-07
9,0.7356675625283837,0.020402621734201716,1.1546155606889723e-07
10,0.7356675625283837,0.018928396717979423,6.134270644606517e-08
11,0.6751347234839857,0.010418192338022585,1.371290407453285e-10
12,0.590752643676136,0.004118672176245217,1.0753830545508796e-10
13,0.590752643676136,0.004118672176245217,1.0287819008205404e-10
14,0.5872950041992877,0.002092433243277051,2.6883473824118582e-12
15,0.5719565143232876,0.002092433243277051,2.6883473824118582e-12
16,0.5719565143232876,0.0013764663300207026,2.6883473824118582e-12
17,0.5719565143232876,0.0007508730359377867,2.7146189441724786e-13
18,0.5215683320727719,0.0006354637862027098,2.7146189441724786e-13
19,0.49134287745429606,0.00047448252121181424,2.7146189441724786e-13
20,0.4844770175109022,0.0003182957663388034,4.3870132432400785e-14
21,0.40010939249840155,0.00016030343015189017,1.804953645930598e-15
22,0.3676585697203573,0.00016030343015189017,1.7056822304237737e-16
23,0.350862793372187,8.143870739961062e-05,5.158466447845176e-17
24,0.33179421660766545,5.2317276386331655e-05,5.1416702556282805e-17
25,0.33179421660766545,4.3633895243857074e-05,3.509890883091685e-17
26,0.32465881549055575,3.509660000461611e-05,5.44705338765179e-18
27,0.26467583977242704,1.652487255875377e-05,4.5144997254611065e-19
28,0.26467583977242704,9.753183264421731e-06,4.5144997254611065e-19
29,0.23824099845631946,7.035567602088943e-06,2.8069975726428044e-19
30,0.2023355903973468,4.68294919652741e-06,5.827653130685251e-20
31,0.2023355903973468,2.882974936889767e-06,1.6429352984351975e-23
32,0.20131060534492692,2.0569573790084437e-06,6.612403211856333e-24
33,0.17939533003853939,1.1674991390519788e-06,5.215494684664908e-24
34,0.16735432152379798,1.1674991390519788e-06,5.215494684664908e-24
35,0.16735432152379798,7.233339909558732e-07,3.761273443038494e-24
36,0.16406095844651405,5.143001377345808e-07,2.699642996604291e-24
37,0.16406095844651405,3.8866534429414833e-07,1.317041698658829e-25
38,0.16406095844651405,2.18132915949101e-07,1.296142346848694e-26
39,0.15746210074995437,1.5404447100372892e-07,1.0857989661874934e-26
40,0.15348347788193303,1.2123467504518045e-07,3.2226425442497416e-27
