,Method,Best,Mean,Variance
0,EfficientNet,95.172052828372,93.67205209993804,0.9831690316571337
1,STIDNet,95.29092603815889,92.91285477782048,2.449387880873652
2,DCNN,95.96494704398188,93.55259957032524,2.764472161168355
3,GLCM,96.07282987854968,93.89537901670178,2.575028690104914
4,BA-TFD,96.18297308911905,94.4084982392898,2.2489675460798906
5,MUSE-CLMPNet,96.57031067066924,94.67776255839406,2.2709962166895656
6,SCAM-CLMPNet,96.86785265863072,94.95884936099047,2.3002262137745086
7,SMA-CLMPNet,96.9597095226881,95.63055117427001,1.7285466132549616
