,Method,Best,Mean,Variance
0,EfficientNet,95.04318031921034,93.29438981152302,1.1871023280784705
1,STIDNet,95.06899846304265,92.78625912147028,2.5946597326551455
2,DCNN,96.0041534215885,93.49901273553307,2.9927179963449793
3,GLCM,96.15142194852756,93.93483302991108,2.6697450023265263
4,BA-TFD,96.28527944321984,94.51795003591377,2.2554586549827698
5,MUSE-CLMPNet,96.84953568593828,94.8553117465982,2.459518212424755
6,SCAM-CLMPNet,97.16293486725472,95.11035412162443,2.5439958360030794
7,SMA-CLMPNet,97.22884302293618,95.98647131611801,1.5706949414459863
