,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,90.99470464058825,91.38651764454397,94.28790039699113,94.42180106013048,95.39173841296838,97.70897339460412
STIDNet,91.07867806480836,91.29833076869349,91.86440341150556,92.79935315115459,93.42401683547847,94.63586904128123
DCNN,91.39657692491672,92.437440181869,93.214616692043,94.27489358105505,95.26365521004773,96.69464567344147
GLCM,91.91117896446363,92.7722429643604,93.91068608976816,94.70569836744946,96.11005970647437,97.35299649837266
BA-TFD,92.12865206997985,93.12792207235721,94.33375950623545,94.95291237896947,96.34353536181446,97.47630639361226
MUSE-CLMPNet,92.70130320761021,93.23758247556266,94.75416949264819,95.82309386909196,96.8699470288485,97.6177064460193
SCAM-CLMPNet,93.09451527284828,93.42063239939114,95.15141867613065,95.9810378021708,97.3270159316711,97.70431923987535
SMA-CLMPNet,93.41412863166683,94.43215627534718,96.30662250671855,96.88469922305991,97.73340738085794,97.91784781180843
