,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,91.05946461062328,91.50615838969715,95.15290158290462,95.16642966830617,95.38795226250497,98.19919807823807
STIDNet,91.05566647980979,91.28088254274522,92.28813299431859,93.67856516456524,94.48043065179859,96.70362226986259
DCNN,91.61388471091601,92.12141342120715,92.54067288342196,93.97416672644998,94.89701983579452,96.82198655014963
GLCM,91.64672473419616,92.67746964751498,93.7308500220938,94.70576927802566,96.3106043647644,97.63608080774131
BA-TFD,91.67410722797815,93.14297893125733,94.41690722476683,95.14939644181234,96.31329358740935,97.86499102645062
MUSE-CLMPNet,92.78569089008478,93.27539001028538,94.77469066779871,95.50381151744149,97.31875219946846,97.98165912149256
SCAM-CLMPNet,93.30825301495581,93.43313223088863,95.32359137403719,95.69569006363962,97.62132003868726,98.07964779611517
SMA-CLMPNet,93.59461841639246,93.84715876928952,97.0236558930804,97.17538198207751,98.1428431950214,98.49099899177666
