,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,93.41543632355874,93.8593661399691,94.11852316911366,95.38214947055407,95.43120149991307
STIDNet,91.06694717483754,92.48369798789165,92.7914284813766,93.77353831672954,95.73895493168708
DCNN,91.53222752071166,92.61770610068378,93.52862642799319,94.73811116373867,95.88666222149435
GLCM,91.59577514490601,92.72863972398349,93.79074834273383,95.05350455887242,95.91615839700344
BA-TFD,91.75006868494428,93.49031788168016,94.27062289381846,95.46414523970999,95.97922724927757
MUSE-CLMPNet,92.07949035123566,93.70787813550758,94.30072391079037,95.52340171488201,96.0182456404658
SCAM-CLMPNet,92.39527210191848,94.05384946133431,94.77819486120941,95.78101265994712,96.28479279006643
SMA-CLMPNet,92.44156154022885,94.43688672577163,95.14838014171771,96.19393242837039,96.42735322120303
