,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
SMA-CLMPNet at Epoch = 100,86.06596659690263,86.20732129335904,86.37568264593087,86.94053203355287,89.75633955403694,89.93786648548016
SMA-CLMPNet at Epoch = 200,87.08692251122142,87.57335838600761,88.32572319446102,90.13381483315061,90.23983973360413,91.58621397834298
SMA-CLMPNet at Epoch = 300,87.99599054675944,90.24703340330198,92.47343328976909,92.84374655695547,93.12917614252032,93.18614381033038
SMA-CLMPNet at Epoch = 400,91.50495425595983,92.88390258726895,93.94797105217934,94.14090277405748,95.01481313005735,95.70502132891194
SMA-CLMPNet at Epoch = 500,93.5041991576738,94.13784552259499,96.66246992927314,97.02960453543392,97.9372676605919,98.20274596360105
