,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
SMA-CLMPNet at Epoch = 100,86.07781557253547,86.29540257819241,86.5532785255478,87.2168977233879,90.13405719928218,90.28777330067433
SMA-CLMPNet at Epoch = 200,87.32569039387074,87.65029916989346,88.36409331911268,90.4894090745891,90.59005886992422,92.08766738121132
SMA-CLMPNet at Epoch = 300,88.08526241686538,90.61745322414818,92.40128772480456,93.11754955561779,93.32612549901727,93.43740079104053
SMA-CLMPNet at Epoch = 400,90.49338426483746,92.74599437837097,93.9319586411157,94.17755185808592,94.84577307904824,95.48885127954372
SMA-CLMPNet at Epoch = 500,93.41412863166683,94.43215627534718,96.30662250671855,96.88469922305991,97.73340738085794,97.91784781180843
