,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,91.05946461062328,91.50615838969716,95.15290158290462,95.16642966830617,95.38795226250497,98.19919807823808
STIDNet,91.0556664798098,91.28088254274522,92.2881329943186,93.67856516456524,94.4804306517986,96.7036222698626
DCNN,91.613884710916,92.12141342120717,92.54067288342196,93.97416672644998,94.89701983579452,96.82198655014965
GLCM,91.64672473419616,92.67746964751498,93.7308500220938,94.70576927802566,96.3106043647644,97.63608080774132
BA-TFD,91.67410722797815,93.14297893125732,94.41690722476685,95.14939644181234,96.31329358740936,97.86499102645064
MUSE-CLMPNet,92.78569089008478,93.27539001028538,94.77469066779872,95.50381151744148,97.31875219946846,97.98165912149256
SCAM-CLMPNet,93.3082530149558,93.43313223088865,95.3235913740372,95.69569006363962,97.62132003868726,98.07964779611515
SMA-CLMPNet,93.59461841639246,93.84715876928952,97.0236558930804,97.17538198207752,98.1428431950214,98.49099899177666
OM²AHL-BiG,93.85273059640711,94.00710052331253,97.76530878284068,97.8653935458356,98.49651683188641,99.20134306654815
