,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,90.9946585516017,91.38636101413209,94.2799648395285,94.41592877472725,95.39173826269398,97.70651384322318
STIDNet,91.07867225079069,91.29832743412443,91.86244893564024,92.79102320338797,93.41207119035302,94.59068951836227
DCNN,91.3960602461149,92.43635974397222,93.20974406290716,94.27393429446616,95.26224416301875,96.69447797337115
GLCM,91.9104180555003,92.77214614680702,93.91034170924468,94.70569836739637,96.10964124705306,97.35217334213615
BA-TFD,92.1264094341793,93.12791963797451,94.33368621812383,94.95250579863419,96.3435258690663,97.47475652216767
MUSE-CLMPNet,92.70122638796792,93.23756714473099,94.75416504831998,95.82203002095306,96.8678676834235,97.61634950418153
SCAM-CLMPNet,93.09402454767218,93.4206307268935,95.15110713649922,95.98018947489962,97.32612599472422,97.70287742516105
SMA-CLMPNet,93.41377989895513,94.42853227590048,96.30128396546588,96.88382708879034,97.73169212616241,97.91449293542543
OM²AHL-BiG,93.70933672578646,94.91152094655489,96.87629870218655,97.38732725155833,98.20175232007335,98.6162284548784
