,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,91.02706158111249,91.44625970191463,94.71643321121657,94.7911792215167,95.38984526259947,97.95285596073062
STIDNet,91.06716936530023,91.28960498843483,92.07529096497942,93.2347941839766,93.9462509210758,95.64715589411243
DCNN,91.50497247851544,92.27888658258969,92.87520847316456,94.12405051045806,95.07963199940663,96.7582322617604
GLCM,91.77857139484823,92.724807897161,93.82059586566925,94.70573382271101,96.21012280590872,97.49412707493875
BA-TFD,91.90025833107872,93.13544928461593,94.37529672144534,95.05095112022326,96.32840972823783,97.66987377430915
MUSE-CLMPNet,92.74345863902636,93.25647857750819,94.76442785805935,95.66292076919727,97.09330994144598,97.79900431283704
SCAM-CLMPNet,93.201138781314,93.42688147889108,95.23734925526821,95.83793976926962,97.47372301670573,97.8912626106381
SMA-CLMPNet,93.5041991576738,94.137845522595,96.66246992927314,97.02960453543393,97.93726766059191,98.20274596360106
OM²AHL-BiG,93.78103366109679,94.4593107349337,97.32080374251362,97.62636039869696,98.34913457597989,98.90878576071327
