,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
SMA-CLMPNet at Epoch = 100,86.17787837455866,86.37427275446203,86.84336062978703,88.22206113558173,89.5374509955871
SMA-CLMPNet at Epoch = 200,86.38057535284412,88.69277846486357,89.00366122912172,89.81167702633387,92.51982793334838
SMA-CLMPNet at Epoch = 300,89.51839682644602,90.0982993317187,90.81680810165989,91.90076041185463,93.50286586217817
SMA-CLMPNet at Epoch = 400,90.97495082574731,91.4669896917389,92.69442573476509,94.399276423032,95.32883268959964
SMA-CLMPNet at Epoch = 500,93.72384456728523,95.72932228056237,96.23242583447154,97.01792087533474,97.22884302293618
