,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
OM²AHL-BiG at Epochs = 100,87.98829135093378,88.7803227677166,88.94431243418013,88.9552394941681,90.53128348625869,94.34818754195378
OM²AHL-BiG at Epochs = 200,88.87002235427191,89.76542920490175,90.79151975872067,91.0678059051102,93.85305340273769,95.09229395054656
OM²AHL-BiG at Epochs = 300,91.0716168008226,91.46568163030405,94.22206171123186,94.25411470007894,95.54375588740041,96.8711353463929
OM²AHL-BiG at Epochs = 400,93.38801551840898,94.58561316400764,95.99804981581411,96.17696449610236,96.52933613062247,97.14016575719614
OM²AHL-BiG at Epochs = 500,93.56638035835539,95.8335128575589,96.0033110102653,96.91390889995252,97.90874679177062,98.03797567830641
