,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
OM²AHL-BiG at Epochs = 100,88.45844318348355,88.7182118206516,88.82879794298206,88.9004227451865,90.52117833761918,91.5605630096577
OM²AHL-BiG at Epochs = 200,88.91834810324706,89.31308476335077,90.28490599659358,90.59695804659079,92.03802852317493,93.3237080015143
OM²AHL-BiG at Epochs = 300,89.89765113104502,91.26519964402758,92.56488795602603,93.30121010104445,94.01200879590345,94.95226314857432
OM²AHL-BiG at Epochs = 400,91.90184479150784,92.23053211284976,94.104024339463,94.80101681625952,96.54248702599111,96.98584582042173
OM²AHL-BiG at Epochs = 500,93.78103366109679,94.4593107349337,97.32080374251362,97.62636039869696,98.34913457597989,98.90878576071327
