,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
OM²AHL-BiG at Epochs = 100,88.30098244015294,88.73890259271438,88.8672583096132,88.9186849846944,90.5245463862857,92.46520803047981
OM²AHL-BiG at Epochs = 200,88.90223173495035,89.46319009684669,90.45293861672256,90.75318519397831,92.63259208609374,93.90345038667621
OM²AHL-BiG at Epochs = 300,90.2844763340069,91.33189670706645,93.10860964731775,93.61598410377378,94.51528924197228,95.58057564439753
OM²AHL-BiG at Epochs = 400,92.39020268966188,92.99808902006971,94.72424559839777,95.25381500280139,96.53810286336063,97.03721313444433
OM²AHL-BiG at Epochs = 500,93.70933672578646,94.91152094655489,96.87629870218655,97.38732725155833,98.20175232007335,98.6162284548784
