,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,91.43677041622706,92.17452925791996,92.59906535739168,93.45896477395247,94.91430781004864
STIDNet,91.07546775343816,91.39939993190072,91.40698197083935,94.56939678149573,94.8470708879264
DCNN,91.23955207636314,91.7922321312886,93.35663606734306,94.7953494295144,96.04335979919512
GLCM,91.34413893202488,93.10684568146202,94.1857811719272,95.00465541168226,96.23001401850544
BA-TFD,92.027478275995,94.3677038057386,94.53975731532242,95.81448396831206,96.38758579732064
MUSE-CLMPNet,92.22357678942356,94.69476398327376,95.12952110449515,95.98768209561192,97.12876070120734
SCAM-CLMPNet,92.38155273439271,94.85079118386302,95.52803955392196,96.09089386323546,97.45801707587873
SMA-CLMPNet,94.15652614388738,96.16535900311524,96.59742459562854,97.29467102401468,97.49797652318428
OM²AHL-BiG,95.03133938572294,96.87736686099912,97.3024116666937,97.34320768836578,97.72742911249254
