,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,91.92614196198791,92.59192374978691,92.97583857497067,93.93486445165924,95.04318031921032
STIDNet,91.07333750914034,91.66887600878333,91.75049220232721,94.3695914240579,95.06899846304266
DCNN,91.31260377095455,91.99767685662043,93.39959408685705,94.78103554164477,96.00415342158851
GLCM,91.40696145303053,93.0121017641689,94.08681542417615,95.01686455965222,96.15142194852757
BA-TFD,91.95802119177515,94.14733287278307,94.47237780243229,95.7267388693585,96.28527944321985
MUSE-CLMPNet,92.18752701851444,94.44675015135061,94.92141526552649,95.87133061166118,96.84953568593828
SCAM-CLMPNet,92.38498232161419,94.65071522847332,95.33983974616241,96.0132984446175,97.16293486725472
SMA-CLMPNet,93.72384456728523,95.72932228056239,96.23242583447154,97.01792087533474,97.22884302293619
OM²AHL-BiG,94.55077019268782,96.41819630704518,96.81276996453596,97.17229672400785,97.50106340475237
