,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,92.41551350774874,93.00931824165386,93.35261179254967,94.41076412936602,95.172052828372
STIDNet,91.07120726484254,91.93835208566595,92.09400243381506,94.16978606662006,95.2909260381589
DCNN,91.38565546554598,92.20312158195229,93.44255210637105,94.76672165377515,95.96494704398191
GLCM,91.46978397403619,92.91735784687576,93.9878496764251,95.02907370762217,96.07282987854968
BA-TFD,91.88856410755527,93.92696193982755,94.40499828954216,95.63899377040494,96.18297308911905
MUSE-CLMPNet,92.15147724760534,94.19873631942745,94.71330942655783,95.75497912771043,96.57031067066923
SCAM-CLMPNet,92.38841190883565,94.45063927308361,95.15163993840287,95.93570302599952,96.86785265863071
SMA-CLMPNet,93.29116299068309,95.29328555800952,95.86742707331454,96.74117072665479,96.95970952268812
OM²AHL-BiG,94.0702009996527,95.95902575309123,96.3231282623782,97.00138575964992,97.2746976970122
