,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,93.41543632355874,93.8593661399691,94.11852316911366,95.38214947055408,95.43120149991309
STIDNet,91.06694717483754,92.48369798789165,92.7914284813766,93.77353831672954,95.73895493168708
DCNN,91.53222752071166,92.61770610068379,93.5286264279932,94.73811116373868,95.88666222149436
GLCM,91.595775144906,92.72863972398348,93.79074834273383,95.05350455887242,95.91615839700344
BA-TFD,91.75006868494428,93.49031788168017,94.27062289381846,95.46414523971,95.97922724927756
MUSE-CLMPNet,92.07949035123566,93.70787813550758,94.30072391079035,95.523401714882,96.0182456404658
SCAM-CLMPNet,92.39527210191848,94.05384946133432,94.7781948612094,95.78101265994712,96.28479279006643
SMA-CLMPNet,92.44156154022885,94.43688672577164,95.14838014171772,96.19393242837042,96.42735322120303
OM²AHL-BiG,93.1283096841576,95.05793183134293,95.3633601093061,96.6619560548277,96.82614157995184
