,Method,T-Statistic,P-value
0,EfficientNet,3.010281128902813,0.029746012449748883
1,STIDNet,2.5270098863935635,0.05272184176594365
2,DCNN,2.852029264982185,0.03573861546461367
3,GLCM,3.0615184477111046,0.02805343348422468
4,BA-TFD,3.3218890873612827,0.020964730311359724
5,MUSE-CLMPNet,2.9919713094727975,0.030378359893038828
6,SCAM-CLMPNet,2.874457854797285,0.03481274180344935
7,SMA-CLMPNet,3.4057733244400668,0.01913082385941248
8,OM²AHL-BiG,3.771398687152555,0.013004220198625098
