,Method,T-Statistic,P-value
0,EfficientNet,2.9495504243464734,0.03190197971894673
1,STIDNet,2.5729834102626605,0.04985451531070918
2,DCNN,3.14725761728638,0.02545740439595037
3,GLCM,3.0616632006564193,0.02804880724244353
4,BA-TFD,3.2078156140362983,0.023786657486536505
5,MUSE-CLMPNet,3.073768599821952,0.02766493557186758
6,SCAM-CLMPNet,2.983574938753844,0.030673355007713052
7,SMA-CLMPNet,3.62784662084158,0.015094631826408729
8,OM²AHL-BiG,3.9380697419101134,0.010981105042091719
