,Method,T-Statistic,P-value
0,EfficientNet,2.948114159347603,0.03195503934552831
1,STIDNet,2.582515820599728,0.049281608100638086
2,DCNN,3.145456009959295,0.02550909524580604
3,GLCM,3.0622025013647334,0.02803157895611462
4,BA-TFD,3.209458946476777,0.023743074112482804
5,MUSE-CLMPNet,3.0740782412348158,0.027655194223653975
6,SCAM-CLMPNet,2.9840166214661874,0.03065775749983303
7,SMA-CLMPNet,3.6256572968986838,0.015129362654551734
8,OM²AHL-BiG,3.935488567945212,0.011009545869538276
