,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,91.02706158111249,91.4462597019146,94.71643321121657,94.7911792215167,95.38984526259948,97.95285596073062
STIDNet,91.06716936530023,91.28960498843482,92.07529096497942,93.2347941839766,93.94625092107579,95.64715589411242
DCNN,91.50497247851546,92.27888658258968,92.87520847316456,94.12405051045806,95.07963199940663,96.75823226176038
GLCM,91.77857139484823,92.724807897161,93.82059586566925,94.70573382271101,96.21012280590872,97.49412707493872
BA-TFD,91.90025833107872,93.13544928461593,94.37529672144534,95.05095112022326,96.32840972823782,97.66987377430914
MUSE-CLMPNet,92.74345863902636,93.25647857750819,94.76442785805934,95.66292076919729,97.09330994144598,97.79900431283704
SCAM-CLMPNet,93.201138781314,93.42688147889106,95.23734925526819,95.83793976926962,97.47372301670573,97.89126261063811
SMA-CLMPNet,93.5041991576738,94.13784552259499,96.66246992927314,97.02960453543392,97.9372676605919,98.20274596360105
