,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,90.99465855160169,91.38636101413205,94.2799648395285,94.41592877472723,95.39173826269398,97.70651384322315
STIDNet,91.07867225079067,91.29832743412443,91.86244893564024,92.79102320338797,93.412071190353,94.59068951836225
DCNN,91.3960602461149,92.4363597439722,93.20974406290716,94.27393429446616,95.26224416301875,96.69447797337114
GLCM,91.9104180555003,92.77214614680702,93.91034170924468,94.70569836739637,96.10964124705306,97.35217334213614
BA-TFD,92.1264094341793,93.12791963797453,94.33368621812383,94.95250579863419,96.34352586906628,97.47475652216765
MUSE-CLMPNet,92.70122638796792,93.23756714473099,94.75416504831998,95.82203002095308,96.8678676834235,97.61634950418151
SCAM-CLMPNet,93.09402454767218,93.42063072689349,95.1511071364992,95.98018947489962,97.32612599472422,97.70287742516105
SMA-CLMPNet,93.41377989895513,94.42853227590045,96.30128396546588,96.88382708879033,97.7316921261624,97.91449293542543
