,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
EfficientNet,90.92994467055323,91.2668768993908,93.42289921107766,93.67717245195479,95.39552456343178,97.21874871097015
STIDNet,91.10168964980693,91.31577899464176,91.44067382869257,91.92014113774394,92.36760301915835,92.56811581269989
DCNN,91.17926913891743,92.75346694253082,93.88856050066403,94.57562043566011,95.63029058430092,96.56730479673331
GLCM,92.17563319473112,92.86701628120584,94.09052215744252,94.70562745687326,95.90951504818435,97.069912189004
BA-TFD,92.58319691198156,93.11286521345708,94.25061178770409,94.75642831612662,96.37377713621956,97.0876217607739
MUSE-CLMPNet,92.61691552513565,93.19977494083994,94.73364831749767,96.14237622074243,96.42114185822855,97.25375377054604
SCAM-CLMPNet,92.88077753074074,93.40813256789365,94.97924597822409,96.266385540702,97.03271182465494,97.32899068363552
SMA-CLMPNet,93.2336388469412,95.01715378140483,95.5895891203567,96.59401646404231,97.32397156669447,97.34469663184022
