,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,91.43677041622706,92.17452925791997,92.59906535739168,93.45896477395249,94.91430781004865
STIDNet,91.07546775343816,91.39939993190072,91.40698197083935,94.56939678149571,94.84707088792639
DCNN,91.23955207636314,91.79223213128861,93.35663606734306,94.7953494295144,96.04335979919512
GLCM,91.34413893202489,93.10684568146202,94.1857811719272,95.00465541168226,96.23001401850544
BA-TFD,92.02747827599501,94.36770380573859,94.53975731532242,95.81448396831206,96.38758579732063
MUSE-CLMPNet,92.22357678942355,94.69476398327377,95.12952110449517,95.98768209561192,97.12876070120734
SCAM-CLMPNet,92.38155273439273,94.85079118386302,95.52803955392197,96.09089386323546,97.45801707587873
SMA-CLMPNet,94.15652614388738,96.16535900311524,96.59742459562854,97.29467102401469,97.49797652318426
