,FOLD-6,FOLD-7,FOLD-8,FOLD-9,FOLD-10
EfficientNet,92.4261033698929,93.01694769894453,93.35879426325266,94.42055712225329,95.17275465498086
STIDNet,91.07120746413784,91.94154895989618,92.09920522610797,94.17146754911263,95.29301290980673
DCNN,91.3858897985374,92.20496911598619,93.44263124766812,94.76673029662653,95.96501101034474
GLCM,91.46995703846545,92.91774270272276,93.98826475733053,95.02907998527735,96.07308620775446
BA-TFD,91.88877348046964,93.92901084370936,94.40519010457044,95.63931460401103,96.18340652329908
MUSE-CLMPNet,92.1515335703296,94.20132105939068,94.71512250764276,95.75554190524697,96.57350317083657
SCAM-CLMPNet,92.38841241815561,94.45232032259867,95.1531172075657,95.9359532615913,96.87140493297258
SMA-CLMPNet,93.29904384205811,95.30112286444343,95.87290236867312,96.74430172619253,96.96266487219364
