,TP-40,TP-50,TP_60,TP-70,TP-80,TP-90
OM²AHL-BiG at Epochs = 100,88.61590392681416,88.69752104858881,88.79033757635094,88.88216050567863,90.51781028895265,90.65591798883557
OM²AHL-BiG at Epochs = 200,88.93446447154376,89.16297942985484,90.1168733764646,90.44073089920323,91.44346496025614,92.74396561635241
OM²AHL-BiG at Epochs = 300,89.51082592808314,91.19850258098869,92.02116626473428,92.98643609831512,93.50872834983464,94.32395065275112
OM²AHL-BiG at Epochs = 400,91.4134868933538,91.46297520562982,93.48380308052823,94.34821862971766,96.54687118862158,96.93447850639916
OM²AHL-BiG at Epochs = 500,93.85273059640711,94.00710052331253,97.76530878284068,97.8653935458356,98.49651683188641,99.20134306654815
