,Method,Best,Mean,Variance
0,EfficientNet,97.70897339460412,94.0319392583044,5.301698624530541
1,STIDNet,94.63586904128124,92.51677521215362,1.5619692574386974
2,DCNN,96.69464567344149,93.88030471056216,3.113962722638744
3,GLCM,97.35299649837266,94.46047709848148,3.466541725179026
4,BA-TFD,97.47630639361226,94.72718129716145,3.2810014496273734
5,MUSE-CLMPNet,97.6177064460193,95.16730041996347,3.2181984957632115
6,SCAM-CLMPNet,97.70431923987536,95.44648988701458,3.1071438717006905
7,SMA-CLMPNet,97.91784781180844,96.11481030490982,2.770887949332993
8,OM²AHL-BiG,98.28581447174284,96.590114506524,2.575824170562116
