,Method,Best,Mean,Variance
0,EfficientNet,97.95285596073062,94.22060582318174,5.627321997363332
1,STIDNet,95.64715589411244,92.87671105297989,2.5638541021543095
2,DCNN,96.7582322617604,93.77016371764914,3.1540734000650628
3,GLCM,97.49412707493876,94.45565981020616,3.823152946009659
4,BA-TFD,97.66987377430917,94.74337315998503,3.662592058983264
5,MUSE-CLMPNet,97.79900431283704,95.21993334967904,3.425491938199148
6,SCAM-CLMPNet,97.8912626106381,95.51138248534778,3.2297856767631647
7,SMA-CLMPNet,98.20274596360106,96.24568879486146,3.2397518190443457
8,OM²AHL-BiG,98.57884309030834,96.74077575276402,3.229148207419979
