,Method,Best,Mean,Variance
0,EfficientNet,97.70651384322318,94.02919421431778,5.29743824598025
1,STIDNet,94.59068951836228,92.50553875544311,1.5263379737362612
2,DCNN,96.69447797337116,93.87880341397505,3.115059622866948
3,GLCM,97.35217334213615,94.46006981135626,3.4662822502491024
4,BA-TFD,97.47475652216768,94.72646724669097,3.28149966316694
5,MUSE-CLMPNet,97.61634950418151,95.16653429826282,3.215751707223936
6,SCAM-CLMPNet,97.70287742516103,95.4458258843083,3.105766450529236
7,SMA-CLMPNet,97.91449293542544,96.11226804844993,2.7697306168419735
8,OM²AHL-BiG,98.28227763199276,96.58650569042167,2.5728453072809008
